item	status	note
PACKAGE	INCLUDED	CODE_RELEASE package (release v1.0): 231 files, 104955667 bytes
.zenodo.json	INCLUDED	package_root_file
CITATION.cff	INCLUDED	package_root_file
FIGURE_PROVENANCE.tsv	INCLUDED	package_root_file
LICENSE	INCLUDED	package_root_file
README.md	INCLUDED	package_root_file
RUN_REPRODUCTION.md	INCLUDED	package_root_file
docs/vendor/_infercnv_src.py	INCLUDED	documentation
environment/ENVIRONMENT_NOTE.md	INCLUDED	environment_manifest
environment/python_environment_freeze.txt	INCLUDED	environment_manifest
environment/python_version.txt	INCLUDED	environment_manifest
environment/software_versions_R_sessionInfo.txt	INCLUDED	environment_manifest
environment/software_versions_bulk_rnaseq.tsv	INCLUDED	environment_manifest
environment/software_versions_microarray_r.tsv	INCLUDED	environment_manifest
figures/Fig1.pdf	INCLUDED	figure_assets
figures/Fig1.png	INCLUDED	figure_assets
figures/Fig1.tif	INCLUDED	figure_assets
figures/Fig2.pdf	INCLUDED	figure_assets
figures/Fig2.png	INCLUDED	figure_assets
figures/Fig2.tif	INCLUDED	figure_assets
figures/Fig3.pdf	INCLUDED	figure_assets
figures/Fig3.png	INCLUDED	figure_assets
figures/Fig3.tif	INCLUDED	figure_assets
figures/Fig4.pdf	INCLUDED	figure_assets
figures/Fig4.png	INCLUDED	figure_assets
figures/Fig4.tif	INCLUDED	figure_assets
figures/Fig5.pdf	INCLUDED	figure_assets
figures/Fig5.png	INCLUDED	figure_assets
figures/Fig5.tif	INCLUDED	figure_assets
figures/Fig6.pdf	INCLUDED	figure_assets
figures/Fig6.png	INCLUDED	figure_assets
figures/Fig6.tif	INCLUDED	figure_assets
figures/supplementary/FigS1.pdf	INCLUDED	figure_assets
figures/supplementary/FigS1.png	INCLUDED	figure_assets
figures/supplementary/FigS1.tif	INCLUDED	figure_assets
figures/supplementary/FigS2.pdf	INCLUDED	figure_assets
figures/supplementary/FigS2.png	INCLUDED	figure_assets
figures/supplementary/FigS2.tif	INCLUDED	figure_assets
figures/supplementary/FigS3.pdf	INCLUDED	figure_assets
figures/supplementary/FigS3.png	INCLUDED	figure_assets
figures/supplementary/FigS3.tif	INCLUDED	figure_assets
figures/supplementary/FigS4.pdf	INCLUDED	figure_assets
figures/supplementary/FigS4.png	INCLUDED	figure_assets
figures/supplementary/FigS4.tif	INCLUDED	figure_assets
figures/supplementary/FigS5.pdf	INCLUDED	figure_assets
figures/supplementary/FigS5.png	INCLUDED	figure_assets
figures/supplementary/FigS5.tif	INCLUDED	figure_assets
figures/supplementary/FigS6.pdf	INCLUDED	figure_assets
figures/supplementary/FigS6.png	INCLUDED	figure_assets
figures/supplementary/FigS6.tif	INCLUDED	figure_assets
figures/supplementary/FigS7.pdf	INCLUDED	figure_assets
figures/supplementary/FigS7.png	INCLUDED	figure_assets
figures/supplementary/FigS7.tif	INCLUDED	figure_assets
figures/supplementary/FigS8.pdf	INCLUDED	figure_assets
figures/supplementary/FigS8.png	INCLUDED	figure_assets
figures/supplementary/FigS8.tif	INCLUDED	figure_assets
figures/supplementary/FigS9.pdf	INCLUDED	figure_assets
figures/supplementary/FigS9.png	INCLUDED	figure_assets
figures/supplementary/FigS9.tif	INCLUDED	figure_assets
frozen_intermediates/C1_focus_pathways.tsv	INCLUDED	frozen_intermediate_tables
frozen_intermediates/_q2_for_output.tsv	INCLUDED	frozen_intermediate_tables
frozen_intermediates/c2_11_test_A_ccdep.tsv	INCLUDED	frozen_intermediate_tables
frozen_intermediates/ss2_cellnull_ALL.tsv	INCLUDED	frozen_intermediate_tables
frozen_intermediates/ss2_lopo.tsv	INCLUDED	frozen_intermediate_tables
frozen_intermediates/ss2_pseudobulk_null.tsv	INCLUDED	frozen_intermediate_tables
frozen_intermediates/ss2_state_tests.tsv	INCLUDED	frozen_intermediate_tables
genesets/C1_directional_sets.gmt	INCLUDED	gene_set_definitions
genesets/README_genesets.md	INCLUDED	gene_set_definitions
genesets/frozen_signature_genes.tsv	INCLUDED	gene_set_definitions
manifest/CODE_RELEASE_MANIFEST.tsv	INCLUDED	manifest
